frame_id,timestamp,contact_label,dist_raw,dist_local,v_n,a_n,sigma_d,v_t,approach_theta,shadow_score,flow_mag,brightness_contact,dist2d_palm_0,dist2d_palm_5,dist2d_palm_9,dist2d_palm_13,dist2d_palm_17,hull_overlap_ratio,lm_0_x,lm_0_y,lm_0_z,lm_1_x,lm_1_y,lm_1_z,lm_2_x,lm_2_y,lm_2_z,lm_3_x,lm_3_y,lm_3_z,lm_4_x,lm_4_y,lm_4_z,lm_5_x,lm_5_y,lm_5_z,lm_6_x,lm_6_y,lm_6_z,lm_7_x,lm_7_y,lm_7_z,lm_8_x,lm_8_y,lm_8_z,lm_9_x,lm_9_y,lm_9_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z
29,1777889591.219645,,-64.7496,38.1280,4.2425,5.7377,7.2719,187.9592,58.7312,4.7855,0.0072,146.0185,1526.9952,1255.6146,1142.0505,1081.4551,1070.2063,0.000000,0.895805,1.257563,0.000001,0.928960,1.079312,-0.048035,0.906944,0.890278,-0.075350,0.868888,0.728801,-0.099803,0.855704,0.575891,-0.125125,0.829603,0.799564,-0.059355,0.774540,0.602597,-0.102726,0.727194,0.490638,-0.132371,0.679309,0.400721,-0.152963,0.766373,0.859875,-0.061547,0.692179,0.672815,-0.101635,0.632321,0.562407,-0.129512,0.578293,0.474846,-0.148424,0.718291,0.952672,-0.068826,0.634163,0.793946,-0.106770,0.575494,0.699206,-0.126900,0.525883,0.616865,-0.139785,0.683654,1.066933,-0.079930,0.612879,0.962725,-0.114910,0.568095,0.893018,-0.129378,0.529536,0.821621,-0.136976
30,1777889591.286667,,-44.0625,24.9550,20.6871,16.4446,8.2959,2859.6866,98.1354,6.7955,0.0052,111.7708,1750.9641,1359.0933,1286.1438,1264.4767,1288.3558,0.000000,0.037321,1.109180,0.000001,-0.029715,0.956442,-0.059070,-0.054161,0.759731,-0.080706,-0.050605,0.602592,-0.094474,-0.052768,0.475387,-0.105680,0.059898,0.598312,-0.040867,0.110348,0.399507,-0.070127,0.152579,0.288355,-0.096176,0.193243,0.197107,-0.115082,0.123063,0.640841,-0.032781,0.188229,0.437523,-0.053180,0.239365,0.321812,-0.075079,0.286993,0.230387,-0.092699,0.166453,0.714926,-0.033049,0.231933,0.532031,-0.054619,0.278526,0.426173,-0.074528,0.324106,0.335743,-0.090746,0.199964,0.814108,-0.039268,0.247661,0.693432,-0.060605,0.283254,0.621161,-0.072239,0.322083,0.553447,-0.081409
31,1777889591.353001,,-51.9377,39.1268,-7.8752,-28.5623,8.4331,184.5746,56.6765,6.5829,0.0091,111.8465,1693.4602,1307.1319,1221.5863,1192.2614,1211.5436,0.000000,0.087714,1.078870,0.000001,0.021264,0.934619,-0.059790,-0.005878,0.733073,-0.087236,0.002223,0.552496,-0.106814,0.022366,0.392859,-0.123351,0.089802,0.576603,-0.050465,0.138037,0.376083,-0.088066,0.180588,0.265833,-0.116819,0.223408,0.177776,-0.135995,0.151020,0.616177,-0.043803,0.215227,0.415667,-0.070566,0.266322,0.303671,-0.092565,0.314559,0.216620,-0.109270,0.195700,0.691637,-0.045027,0.257383,0.511784,-0.072790,0.306017,0.410512,-0.088454,0.351425,0.323153,-0.100528,0.230790,0.792121,-0.051808,0.274118,0.671723,-0.078595,0.309219,0.601439,-0.087570,0.344570,0.537144,-0.093197
32,1777889591.419119,,-44.3970,52.9518,7.5407,15.4159,9.7560,269.3756,112.9182,7.0077,0.0105,117.2269,1595.0143,1228.4296,1141.6658,1107.7123,1123.0030,0.000000,0.123795,1.074784,0.000001,0.057080,0.927239,-0.056319,0.031065,0.716891,-0.079252,0.042237,0.533765,-0.094758,0.063293,0.377752,-0.106963,0.127888,0.562298,-0.038467,0.181464,0.362019,-0.071973,0.226535,0.251494,-0.099304,0.270505,0.162394,-0.117759,0.186586,0.598634,-0.032315,0.251483,0.401766,-0.055356,0.305298,0.290690,-0.076983,0.355688,0.206785,-0.093439,0.228739,0.671261,-0.034139,0.291785,0.493502,-0.059331,0.342260,0.400523,-0.074225,0.388574,0.323746,-0.085446,0.262107,0.769595,-0.041489,0.305167,0.651964,-0.065545,0.338683,0.585513,-0.073034,0.371476,0.528067,-0.077580
33,1777889591.485691,,-36.8826,53.8170,7.5144,-0.0263,12.0159,212.1799,114.3617,6.8228,0.0151,118.3912,1507.4312,1170.3063,1090.8748,1056.9085,1067.5768,0.000000,0.134735,1.071906,0.000001,0.060033,0.907455,-0.065666,0.042285,0.689695,-0.086010,0.067234,0.503771,-0.096923,0.094898,0.344576,-0.103679,0.154661,0.537348,-0.024375,0.211447,0.339122,-0.050209,0.259342,0.231053,-0.076293,0.304869,0.143734,-0.095230,0.213823,0.578238,-0.010927,0.283017,0.383958,-0.026778,0.338415,0.273756,-0.049132,0.388851,0.192939,-0.067527,0.252857,0.653012,-0.007717,0.320575,0.474478,-0.029840,0.371769,0.380481,-0.049354,0.418630,0.303417,-0.064462,0.284454,0.749665,-0.011053,0.332095,0.633188,-0.034437,0.367050,0.567054,-0.046169,0.403415,0.507029,-0.054611
34,1777889591.552594,,-37.8685,77.2642,-0.9859,-8.5003,11.7578,92.0363,82.2041,5.9268,0.0100,107.0424,1478.3699,1135.2611,1050.8044,1015.3945,1021.5483,0.000000,0.155109,1.046891,0.000001,0.081334,0.881057,-0.067991,0.061001,0.668208,-0.089715,0.087601,0.482242,-0.101882,0.123736,0.331293,-0.109438,0.175392,0.520713,-0.024313,0.228719,0.325776,-0.052470,0.275306,0.224854,-0.080019,0.321209,0.144538,-0.099608,0.235077,0.561363,-0.009810,0.300290,0.368262,-0.027924,0.353443,0.263079,-0.050860,0.404413,0.182632,-0.069544,0.273158,0.632250,-0.006148,0.338009,0.459733,-0.030291,0.387774,0.365576,-0.049678,0.436448,0.289310,-0.064299,0.304722,0.727003,-0.009411,0.347769,0.611069,-0.033265,0.382154,0.548124,-0.044600,0.419335,0.490491,-0.052683
35,1777889591.619980,,-36.5116,85.4125,1.3568,2.3427,9.4713,100.2116,110.6812,8.7071,0.0084,115.8573,1451.1887,1094.9408,1012.5767,975.1961,978.5664,0.000000,0.167410,1.050202,0.000001,0.097842,0.879695,-0.066283,0.081220,0.664329,-0.086267,0.108536,0.480332,-0.096742,0.141840,0.328853,-0.102680,0.190226,0.523296,-0.023487,0.245715,0.330538,-0.050371,0.293081,0.228347,-0.077004,0.338875,0.146730,-0.095962,0.248566,0.564282,-0.008945,0.313120,0.374247,-0.026163,0.367628,0.267883,-0.049234,0.419677,0.186215,-0.067834,0.286025,0.635811,-0.004714,0.349604,0.468257,-0.027626,0.400031,0.374345,-0.048082,0.449282,0.298125,-0.063346,0.317094,0.730599,-0.007176,0.360426,0.619337,-0.030005,0.394803,0.557340,-0.041921,0.432594,0.500960,-0.050386
36,1777889591.686299,,-36.1283,94.4558,0.3833,-0.9736,5.4916,50.3252,107.4084,6.5031,0.0126,106.2392,1417.2913,1074.0199,991.2439,950.7679,949.4375,0.000000,0.172167,1.047640,0.000001,0.106002,0.876277,-0.066623,0.087487,0.661573,-0.086643,0.114929,0.477760,-0.097442,0.147129,0.324847,-0.103314,0.196079,0.518937,-0.020017,0.251938,0.330679,-0.047425,0.299481,0.233545,-0.074739,0.346120,0.155597,-0.094291,0.253446,0.561014,-0.005891,0.317047,0.377035,-0.023202,0.370239,0.273134,-0.045289,0.421254,0.192596,-0.063426,0.289121,0.634107,-0.002830,0.352625,0.472112,-0.025737,0.401212,0.380894,-0.043698,0.448790,0.306948,-0.057209,0.319168,0.732159,-0.006915,0.360240,0.619121,-0.030147,0.393548,0.556610,-0.040990,0.429709,0.498966,-0.048532
37,1777889591.753322,,-29.0849,76.1587,7.0435,6.6602,6.7084,67.8033,142.9708,5.0481,0.0130,107.6667,1433.4160,1082.2416,997.1623,958.6459,962.6231,0.000000,0.180215,1.022570,0.000001,0.112304,0.855944,-0.064302,0.089248,0.638298,-0.081869,0.112823,0.449501,-0.090526,0.148354,0.298192,-0.093695,0.197212,0.499839,-0.011109,0.251902,0.311351,-0.033882,0.297113,0.215388,-0.057818,0.341711,0.136083,-0.075171,0.253122,0.539844,0.003276,0.318959,0.354168,-0.008771,0.370732,0.249871,-0.027344,0.419695,0.168797,-0.042734,0.288929,0.609478,0.006238,0.352389,0.444551,-0.011682,0.400169,0.351062,-0.027615,0.446848,0.271500,-0.040046,0.319154,0.702803,0.002029,0.361407,0.595182,-0.016602,0.393195,0.531998,-0.025520,0.427360,0.470822,-0.032026
38,1777889591.820109,,-24.8166,89.4703,4.2683,-2.7752,5.8829,146.2820,105.6138,6.9266,0.0109,109.0687,1450.1527,1082.4493,1005.5961,969.8460,975.2267,0.000000,0.182037,0.992061,0.000001,0.115513,0.824253,-0.066351,0.092668,0.602134,-0.082656,0.112652,0.413916,-0.089425,0.145275,0.260975,-0.090411,0.201060,0.459890,-0.006960,0.252726,0.267980,-0.025449,0.297729,0.171082,-0.047562,0.342030,0.091386,-0.063773,0.255231,0.499652,0.010523,0.318271,0.315356,0.003784,0.370834,0.211101,-0.012426,0.419603,0.135681,-0.026295,0.291043,0.570546,0.016155,0.352461,0.406057,0.003872,0.399531,0.314793,-0.010380,0.444827,0.237641,-0.022257,0.321222,0.662828,0.014153,0.361157,0.557439,0.000204,0.391849,0.495531,-0.007363,0.425794,0.435835,-0.013238
